testadia,,
0,testadia,1
1,20,15
2,34,10
3,50,5
4,61,4
5,37,2
6,63,3
7,30,8
8,52,4
9,28,11
10,41,4
11,40,7
12,38,2
13,103,1
14,0,2
15,328,1
16,70,2
17,147,2
18,46,3
19,160,1
20,82,2
21,47,3
22,25,11
23,56,4
24,98,3
25,120,2
26,154,1
27,24,9
28,81,3
29,51,4
30,22,15
31,26,7
32,69,1
33,93,1
34,138,1
35,86,1
36,12,36
37,8,63
38,10,38
39,4,71
40,3,63
41,5,74
42,15,19
43,11,36
44,21,14
45,58,2
46,7,65
47,44,5
48,36,3
49,6,62
50,18,26
51,35,4
52,31,8
53,29,8
54,27,8
55,2,15
56,19,14
57,16,16
58,13,32
59,9,50
60,49,1
61,105,1
62,17,17
63,14,24
64,23,16
65,84,1
66,48,2
67,39,4
68,72,1
69,100,1
70,66,1
71,32,8
72,133,1
73,42,3
74,55,4
75,74,1
76,62,3
77,33,3
78,122,1
79,45,2
80,68,2
81,60,2
82,57,1
83,76,2
84,54,2
85,64,1
86,1,1
87,79,1
88,89,1
89,75,1
90,43,1
91,67,1
92,96,1
