terminal,,
0,terminal,1
1,"Cais Público",1
2,"Terminal de Miramar",7
3,"Terminal Aquaviário de Aracaju",7
4,"Terminal Aquaviário de Manaus",14
5,"Terminal Aquaviário do Norte Capixaba",1
6,"Terminal Aquaviário de Madre de Deus",7
7,"Píer de Graneis Líquidos 3A",2
8,"Píer de Graneis Líquidos 2",1
9,"Cais de Múltiplos Usos - CMU",2
10,"Terminal de Granel Líquido",3
11,"PIER DA PETROBRAS",2
12,"Terminal Aquaviário de Guamaré",5
13,"Cais Público - Alamoa",2
14,"Píer Público",4
15,"Terminal de Granéis Líquidos",2
16,"Terminal Trombetas",1
17,"Terminal de Múltiplo Uso -1",1
18,"Cais de Uso da CODERN",875
19,"Cais Comercial de Atracação de Barcaças",62
